"month","total_trades","unique_searcher_trades","multiple_searcher_trades","pool_trades","unique_searcher_ratio","multiple_searcher_ratio","pool_ratio"
"2023-09-01T00:00:00",7181,6138,1,1042,"0.854756","0.000139","0.145105"
"2023-10-01T00:00:00",24794,21197,11,3586,"0.854925","0.000444","0.144632"
"2023-11-01T00:00:00",64321,59757,64,4500,"0.929043","0.000995","0.069962"
"2023-12-01T00:00:00",53583,51463,22,2098,"0.960435","0.000411","0.039154"
"2024-01-01T00:00:00",55587,51539,20,4028,"0.927177","0.000360","0.072463"
"2024-02-01T00:00:00",61474,57705,11,3758,"0.938690","0.000179","0.061132"
"2024-03-01T00:00:00",93777,89547,17,4213,"0.954893","0.000181","0.044926"
"2024-04-01T00:00:00",79691,71520,37,8134,"0.897466","0.000464","0.102069"
"2024-05-01T00:00:00",80475,72797,2,7676,"0.904591","0.000025","0.095384"
"2024-06-01T00:00:00",72435,62249,1,10185,"0.859377","0.000014","0.140609"
"2024-07-01T00:00:00",65834,55872,23,9939,"0.848680","0.000349","0.150971"
"2024-08-01T00:00:00",67637,57856,28,9753,"0.855390","0.000414","0.144196"
